ID	Level	TypeID	SkillID	IconID	Name	Desc	BindSkillID	TrainCost	ShowNewRecipeTip	nPriority	nShowAppendSkillID	nTeachPriority
0	0	0	0	0	测试	测试	0	-1	1	0		0
1	1	0	55	0	Test	测试						
3	1	0	0	0	测试	测试						
4	1	0	0	0	测试	测试						
10	1	2	356	1825	《坐忘经·返本归元》注解残页	施展招式的消耗降低20%。		900	0			
11	1	2	356	1825	《坐忘经·返本归元》注解断篇	施展招式的消耗降低20%。		1500	0			
12	1	2	356	1825	《坐忘经·返本归元》注解绝章	施展招式的消耗降低20%。		900	0			
13	1	9	356	1832	《坐忘经·返本归元》真传残页	招式的有效距离增加2尺。		1800	0			
14	1	9	356	1832	《坐忘经·返本归元》真传断篇	招式的有效距离增加2尺。		1800	0			
15	1	9	356	1832	《坐忘经·返本归元》真传绝章	招式的有效距离增加2尺。		2700	0			
16	1	8	356	1831	《坐忘经·返本归元》人偶图残页	能卸除额外一个点穴不利效果。		3900	0			
17	1	8	356	1831	《坐忘经·返本归元》人偶图断篇	能卸除额外一个减速不利效果。		3600	0			
18	1	8	356	1831	《坐忘经·返本归元》人偶图绝章	招式立刻恢复一定气血值。		6600	0			
19	1	5	301	1828	《北冥剑气·两仪化形》秘诀残页	会心提高2%。		9600	0			
20	1	5	301	1828	《北冥剑气·两仪化形》秘诀断篇	会心提高3%。		11100	0			
21	1	5	301	1828	《北冥剑气·两仪化形》秘诀绝章	会心提高4%。		16500	0			5
22	1	7	301	1830	《北冥剑气·两仪化形》详解残页	命中提高1%。		12600	0			
23	1	7	301	1830	《北冥剑气·两仪化形》详解断篇	命中提高2%。		13500	0			
24	1	6	301	1829	《北冥剑气·两仪化形》参悟残页	伤害提高3%。		9600	0			
25	1	6	301	1829	《北冥剑气·两仪化形》参悟断篇	伤害提高4%。		10500	0			5
26	1	6	301	1829	《北冥剑气·两仪化形》参悟绝章	伤害提高5%。		10200	0			5
27	1	8	301	1831	《北冥剑气·两仪化形》人偶图残页	命中目标则续气一格。		23400	0			5
28	1	3	361	1826	《纯阳诀·凌太虚》经脉图残页	运功时间减少0.125秒。		7800	0			
29	1	3	361	1826	《纯阳诀·凌太虚》经脉图断篇	运功时间减少0.125秒。		7800	0			
30	1	3	361	1826	《纯阳诀·凌太虚》经脉图绝章	运功时间减少0.125秒。		7800	0			
31	1	2	361	1825	《纯阳诀·凌太虚》注解残页	施展招式的消耗降低20%。		1200	0			
32	1	2	361	1825	《纯阳诀·凌太虚》注解断篇	施展招式的消耗降低30%。		1800	0			
33	1	2	361	1825	《纯阳诀·凌太虚》注解绝章	施展招式的消耗降低40%。		1200	0			
34	1	12	361	1832	《纯阳诀·凌太虚》真传残页	招式的有效范围增加1尺。		3600	0			
35	1	12	361	1832	《纯阳诀·凌太虚》真传断篇	招式的有效范围增加1尺。		2700	0			
36	1	12	361	1832	《纯阳诀·凌太虚》真传绝章	招式的有效范围增加1尺。		2700	0			
37	1	1	1	1824	《坐忘经·凭虚御风》穴位图残页	调息时间减少15秒。		20100	0			
38	1	1	1	1824	《坐忘经·凭虚御风》穴位图断篇	调息时间减少15秒。		23400	0			
39	1	2	1	1825	《坐忘经·凭虚御风》注解绝章	施展招式的消耗降低30%。		6300	0	3		
40	1	2	1	1825	《坐忘经·凭虚御风》注解残页	施展招式的消耗降低20%。		6000	0	1		
41	1	2	1	1825	《坐忘经·凭虚御风》注解断篇	施展招式的消耗降低30%。		9900	0	2		
42	1	8	355	1831	《坐忘经·凭虚御风》人偶图绝章	效果持续期间每次闪避目标外功攻击则恢复自身2%气血最大值。		6300	0	3		
43	1	10	1	1833	《坐忘经·凭虚御风》手抄断篇	招式附加效果持续时间增加3秒。		17700	0			
44	1	8	355	1831	《坐忘经·凭虚御风》人偶图残页	移动速度提高30%，持续5秒。		20100	0	1		
45	1	8	355	1831	《坐忘经·凭虚御风》人偶图断篇	能卸除额外一个混元性伤害状态。		23100	0	2		
46	1	3	359	1826	《纯阳诀·破苍穹》经脉图残页	运功时间减少0.125秒。		7800	0			
47	1	3	359	1826	《纯阳诀·破苍穹》经脉图断篇	运功时间减少0.125秒。		7800	0			
48	1	3	359	1826	《纯阳诀·破苍穹》经脉图绝章	运功时间减少0.125秒。		7800	0			5
49	1	2	1	1825	《纯阳诀·破苍穹》注解残页	施展招式的消耗降低20%。		1200	0			
50	1	2	1	1825	《纯阳诀·破苍穹》注解断篇	施展招式的消耗降低30%。		1800	0			
51	1	2	1	1825	《纯阳诀·破苍穹》注解绝章	施展招式的消耗降低40%。		1200	0			
52	1	12	359	1832	《纯阳诀·破苍穹》真传残页	招式的有效范围增加1尺。		3600	0			5
53	1	12	359	1832	《纯阳诀·破苍穹》真传断篇	招式的有效范围增加1尺。		2700	0			5
54	1	12	359	1832	《纯阳诀·破苍穹》真传绝章	招式的有效范围增加1尺。		2700	0			5
55	1	1	588	1824	《天道剑势·人剑合一》穴位图残页	调息时间减少5秒。		23100	0			5
